image,x,y
myapp/static/images/0121.jpg,9.966453,2.8452525
myapp/static/images/0122.jpg,8.168337,1.4349254
myapp/static/images/0123.jpg,11.799817,3.3144252
myapp/static/images/0124.jpg,8.116237,1.3480585
myapp/static/images/0125.jpg,11.719586,3.6266487
myapp/static/images/0126.jpg,8.206704,-0.2122645
myapp/static/images/0127.jpg,12.542271,2.1744425
myapp/static/images/0128.jpg,7.8518014,0.96692556
myapp/static/images/0129.jpg,11.669517,3.2115319
myapp/static/images/0130.jpg,8.309498,-1.287708
myapp/static/images/0131.jpg,11.850636,1.4130853
myapp/static/images/0132.jpg,7.9293423,1.0482807
myapp/static/images/0133.jpg,10.358803,2.3143423
myapp/static/images/0134.jpg,7.953789,1.9423709
myapp/static/images/0135.jpg,11.668974,1.2449349
myapp/static/images/0136.jpg,8.213856,1.51236
myapp/static/images/0137.jpg,10.120531,2.521974
myapp/static/images/0138.jpg,8.005379,1.7212287
myapp/static/images/0139.jpg,10.255892,2.3683937
myapp/static/images/0140.jpg,7.7697945,1.6660341
