,files,x,y
95,images/kba/kba-0016-1\0096.jpg,1.066639,5.9280953
96,images/kba/kba-0016-1\0097.jpg,4.428971,2.841157
97,images/kba/kba-0016-1\0098.jpg,4.365368,6.845821
98,images/kba/kba-0016-1\0099.jpg,3.8930335,3.382069
99,images/kba/kba-0016-1\0100.jpg,2.5203478,7.4719877
100,images/kba/kba-0016-1\0101.jpg,4.0012875,2.9483066
101,images/kba/kba-0016-1\0102.jpg,0.672094,6.3356934
102,images/kba/kba-0016-1\0103.jpg,4.3000765,2.7658975
103,images/kba/kba-0016-1\0104.jpg,1.8761898,6.42879
104,images/kba/kba-0016-1\0105.jpg,3.1970887,3.706421
105,images/kba/kba-0016-1\0106.jpg,3.2688236,6.856435
106,images/kba/kba-0016-1\0107.jpg,5.8989916,4.3407593
107,images/kba/kba-0016-1\0108.jpg,2.3810556,7.4993615
108,images/kba/kba-0016-1\0109.jpg,5.752122,3.9533358
109,images/kba/kba-0016-1\0110.jpg,2.90641,7.8078294
110,images/kba/kba-0016-1\0111.jpg,5.6800346,3.6921906
111,images/kba/kba-0016-1\0112.jpg,0.79145604,6.598185
112,images/kba/kba-0016-1\0113.jpg,5.7739244,4.22788
113,images/kba/kba-0016-1\0114.jpg,1.9525465,6.5612698
114,images/kba/kba-0016-1\0115.jpg,5.223298,3.3969839
115,images/kba/kba-0016-1\0116.jpg,2.3623748,7.323974
116,images/kba/kba-0016-1\0117.jpg,5.8387947,3.5422516
117,images/kba/kba-0016-1\0118.jpg,2.7942746,7.589016
118,images/kba/kba-0016-1\0119.jpg,5.313945,3.2974226
119,images/kba/kba-0016-1\0120.jpg,1.763155,6.8330626
120,images/kba/kba-0016-1\0121.jpg,4.997043,5.4749384
121,images/kba/kba-0016-1\0122.jpg,4.0700526,6.63959
122,images/kba/kba-0016-1\0123.jpg,5.3775163,3.4998941
123,images/kba/kba-0016-1\0124.jpg,3.9122686,6.6286254
124,images/kba/kba-0016-1\0125.jpg,5.5531936,3.2909212
125,images/kba/kba-0016-1\0126.jpg,2.122432,6.708309
126,images/kba/kba-0016-1\0127.jpg,4.452567,3.3092034
